symbol,net_pnl
CTLT,0.0
CTSH,0.0
CTVA,0.0
CTXS,0.0
CVNA,0.0
CZR,0.0
D,0.0
DASH,0.0
DAY,0.0
DD,0.0
DDOG,0.0
COO,0.0
DOC,0.0
DOV,0.0
VFC,0.0
VIAC,0.0
VICI,0.0
VLTO,0.0
VMC,0.0
VNO,0.0
VRSK,0.0
VRSN,0.0
VRT,0.0
VTR,0.0
VTRS,0.0
EBAY,0.0
ECL,0.0
ED,0.0
EFX,0.0
EG,0.0
EIX,0.0
DECK,0.0
DELL,0.0
DFS,0.0
DGX,0.0
DHR,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
EQR,0.0
ERIE,0.0
ES,0.0
ESS,0.0
ETN,0.0
ETR,0.0
DPZ,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DXC,0.0
DXCM,0.0
EA,0.0
EXR,0.0
F,0.0
FAST,0.0
FB,0.0
FBHS,0.0
FDS,0.0
FDX,0.0
EL,0.0
ELV,0.0
EME,0.0
EMN,0.0
EMR,0.0
EPAM,0.0
EQIX,0.0
FISV,0.0
FIX,0.0
FLIR,0.0
FLT,0.0
FMC,0.0
FOX,0.0
FOXA,0.0
FRC,0.0
FRT,0.0
EVRG,0.0
EW,0.0
EXC,0.0
EXE,0.0
EXPD,0.0
GDDY,0.0
GEHC,0.0
GEN,0.0
GIS,0.0
GL,0.0
GM,0.0
GNRC,0.0
FE,0.0
FFIV,0.0
FIS,0.0
GPS,0.0
GRMN,0.0
GS,0.0
GWW,0.0
HAS,0.0
HBAN,0.0
HBI,0.0
HCA,0.0
HD,0.0
HES,0.0
HFC,0.0
HIG,0.0
HII,0.0
FTV,0.0
GD,0.0
HON,0.0
HOOD,0.0
HPE,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HSY,0.0
HUBB,0.0
HUM,0.0
IBKR,0.0
IBM,0.0
ICE,0.0
GPC,0.0
GPN,0.0
IEX,0.0
IFF,0.0
ILMN,0.0
INCY,0.0
INFO,0.0
INVH,0.0
CAG,0.0
IPG,0.0
IPGP,0.0
IQV,0.0
IR,0.0
IRM,0.0
ISRG,0.0
HLT,0.0
HOLX,0.0
ITW,0.0
IVZ,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNJ,0.0
JNPR,0.0
JPM,0.0
K,0.0
KDP,0.0
KEY,0.0
KEYS,0.0
KHC,0.0
ADP,0.0
KKR,0.0
ADSK,0.0
KMB,0.0
KMI,0.0
KMX,0.0
KO,0.0
KR,0.0
KSU,0.0
KVUE,0.0
L,0.0
LB,0.0
LDOS,0.0
LEG,0.0
LEN,0.0
LH,0.0
IT,0.0
LHX,0.0
LII,0.0
LIN,0.0
AEE,0.0
LKQ,0.0
AEP,0.0
AES,0.0
LNC,0.0
LNT,0.0
LOW,0.0
AFL,0.0
AIG,0.0
LUMN,0.0
LUV,0.0
LW,0.0
KIM,0.0
V,0.0
LYB,0.0
MA,0.0
MAA,0.0
MAR,0.0
MAS,0.0
MCD,0.0
MCHP,0.0
AIZ,0.0
MCO,0.0
MDLZ,0.0
MDT,0.0
MET,0.0
IP,0.0
MGM,0.0
MHK,0.0
MRK,0.0
AJG,0.0
MRSH,0.0
MS,0.0
TXT,0.0
TYL,0.0
UA,0.0
UAA,0.0
UDR,0.0
UHS,0.0
AKAM,0.0
UNH,0.0
UNM,0.0
UNP,0.0
UPS,0.0
ALK,0.0
NDAQ,0.0
NDSN,0.0
ALL,0.0
ALLE,0.0
ALXN,0.0
NI,0.0
NKE,0.0
MKC,0.0
MKTX,0.0
MLM,0.0
MMC,0.0
MNST,0.0
MO,0.0
MOH,0.0
APD,0.0
WAT,0.0
NUE,0.0
WBA,0.0
NVR,0.0
NWL,0.0
NWS,0.0
NWSA,0.0
NXPI,0.0
MSCI,0.0
MSFT,0.0
MSI,0.0
MTB,0.0
MTCH,0.0
MTD,0.0
WDAY,0.0
MXIM,0.0
WEC,0.0
OTIS,0.0
WFC,0.0
WHR,0.0
PARA,0.0
PAYC,0.0
PAYX,0.0
PBCT,0.0
PCAR,0.0
NLOK,0.0
NLSN,0.0
NOC,0.0
NOV,0.0
WLTW,0.0
WM,0.0
NSC,0.0
NTRS,0.0
PG,0.0
WMB,0.0
PH,0.0
WMT,0.0
PKG,0.0
PKI,0.0
PLD,0.0
WRB,0.0
WRK,0.0
O,0.0
ODFL,0.0
OGN,0.0
OKE,0.0
OMC,0.0
ON,0.0
AVB,0.0
PRGO,0.0
PRU,0.0
PSA,0.0
PSKY,0.0
AVY,0.0
PTC,0.0
PVH,0.0
AWK,0.0
AZO,0.0
PCG,0.0
PEAK,0.0
PEG,0.0
PENN,0.0
PEP,0.0
PFE,0.0
PFG,0.0
REGN,0.0
RF,0.0
RHI,0.0
RJF,0.0
RL,0.0
RMD,0.0
ROK,0.0
ROL,0.0
ROP,0.0
PNC,0.0
PNR,0.0
PNW,0.0
PODD,0.0
POOL,0.0
PPG,0.0
PPL,0.0
SBAC,0.0
SBNY,0.0
SBUX,0.0
SCHW,0.0
SEDG,0.0
SEE,0.0
SHW,0.0
SIVB,0.0
SJM,0.0
AMCR,0.0
AME,0.0
Q,0.0
QRVO,0.0
AMP,0.0
RE,0.0
REG,0.0
SO,0.0
SOLS,0.0
SOLV,0.0
SPG,0.0
SPGI,0.0
SRE,0.0
STE,0.0
STLD,0.0
STT,0.0
FITB,0.0
STZ,0.0
SW,0.0
SWK,0.0
RSG,0.0
RVTY,0.0
SATS,0.0
SYK,0.0
SYY,0.0
T,0.0
TAP,0.0
TDG,0.0
TDY,0.0
TECH,0.0
TEL,0.0
AMT,0.0
TFC,0.0
TFX,0.0
AMTM,0.0
TKO,0.0
SNA,0.0
ANSS,0.0
SNPS,0.0
TMO,0.0
TMUS,0.0
TPL,0.0
ANTM,0.0
TRMB,0.0
TROW,0.0
TRV,0.0
TSCO,0.0
TSN,0.0
AON,0.0
TTD,0.0
AOS,0.0
TWTR,0.0
TXN,0.0
SWKS,0.0
SYF,0.0
WSM,0.0
ADI,0.0
BEN,0.0
ACN,0.0
ACGL,0.0
ABT,0.0
ABNB,0.0
ABMD,0.0
ABC,0.0
ABBV,0.0
AAPL,0.0
AAP,0.0
AAL,0.0
A,0.0
SPY,0.0
ZTS,0.0
WST,0.0
WTW,0.0
WU,0.0
WY,0.0
BF.B,0.0
XEL,0.0
XLNX,0.0
XOM,0.0
XRAY,0.0
XYL,0.0
XYZ,0.0
YUM,0.0
ZBH,0.0
ZBRA,0.0
ZION,0.0
ADM,0.0
CAH,-0.00021905064865910425
EQT,-0.0005103533154705038
BA,-0.0007514778881876127
TPR,-0.001264721743883059
CTRA,-0.0012855369227737106
FANG,-0.0014176427711549105
GILD,-0.0014614041118251775
EOG,-0.0016898328618490952
RTX,-0.0018802614139963759
MPWR,-0.002092752753710832
DHI,-0.0023692326967246343
FCX,-0.002538763834915372
COP,-0.0025642617029131096
USB,-0.0026254620077076772
MMM,-0.002874717520902186
NTAP,-0.00415321365227173
AXON,-0.004456108568406927
BKNG,-0.004598463540314272
AMGN,-0.00572826012158027
QCOM,-0.0058481097201532346
ORLY,-0.00612291581623858
INTC,-0.0072430010058050776
UBER,-0.007255874631518583
ROST,-0.008612957348884545
DG,-0.008695319147053565
AMZN,-0.010329130067092029
AMD,-0.01226068260341998
CARR,-0.012583682717045762
TGT,-0.01294462017164939
VST,-0.013176288493898024
CVS,-0.013974741565145126
HAL,-0.01479029850460275
TSLA,-0.015474711392445625
DLTR,-0.016405145354588476
FSLR,-0.018908214683259077
LVS,-0.01892132614780268
UAL,-0.01966923285620808
MRNA,-0.02247229991008663
CCL,-0.027071093039559645
AMAT,-0.027871043491361398
DAL,-0.028275137516666087
LYV,-0.028923121182242866
CRWD,-0.03199391726765483
GLW,-0.03606924239832759
APP,-0.03648192683940787
AVGO,-0.03706437264193035
SMCI,-0.048967536048124025
