symbol,net_pnl
COST,0.17285133649368767
TMUS,0.14601913851407025
CSCO,0.10811503520052615
EBAY,0.07165839777355006
AMZN,0.06614157901308099
CHTR,0.06135979723058913
TXN,0.05029789019465287
EA,0.04340261455671122
ADP,0.04060736920243389
WMT,0.023343098116276752
SBUX,0.022879769265019785
GILD,0.02036438911154487
CMCSA,0.017786533598359744
PEP,0.01299288092187136
MSFT,0.01207770836029417
GOOGL,0.011676898255641579
ADI,0.009604659070897218
ORLY,0.009063609025665952
CSX,0.006134879527437796
VRTX,0.0004454197285652931
AEP,0.0
CEG,0.0
ADBE,0.0
ABNB,0.0
AAL,0.0
ALGN,0.0
ALNY,0.0
ALXN,0.0
ADSK,0.0
AMAT,0.0
AMD,0.0
ANSS,0.0
APP,0.0
ASML,0.0
ARM,0.0
AVGO,0.0
QQQ,0.0
UAL,0.0
TTWO,0.0
VRSK,0.0
ULTA,0.0
CDNS,0.0
CDW,0.0
CELG,0.0
CHKP,0.0
BIDU,0.0
BMRN,0.0
BKR,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
CERN,0.0
DXCM,0.0
DOCU,0.0
DLTR,0.0
ENPH,0.0
FANG,0.0
FAST,0.0
EXC,0.0
EXPE,0.0
FI,0.0
CTAS,0.0
DASH,0.0
CTSH,0.0
DDOG,0.0
CRWD,0.0
CSGP,0.0
CTXS,0.0
MRNA,0.0
HAS,0.0
IDXX,0.0
HSIC,0.0
INSM,0.0
INCY,0.0
INTC,0.0
ILMN,0.0
KDP,0.0
ISRG,0.0
JBHT,0.0
JD,0.0
KLAC,0.0
KHC,0.0
LBTYA,0.0
INTU,0.0
MRVL,0.0
LBTYK,0.0
LRCX,0.0
LCID,0.0
MCHP,0.0
MAR,0.0
MDB,0.0
LULU,0.0
MPWR,0.0
FER,0.0
FOX,0.0
FOXA,0.0
GEHC,0.0
FTNT,0.0
GFS,0.0
CPRT,0.0
WDAY,0.0
WDC,0.0
WTW,0.0
WYNN,0.0
META,0.0
MNST,0.0
MELI,0.0
MSTR,0.0
ODFL,0.0
NTES,0.0
NXPI,0.0
NVDA,0.0
MYL,0.0
NLOK,0.0
MU,0.0
MTCH,0.0
SHOP,0.0
RIVN,0.0
PCAR,0.0
PAYX,0.0
PYPL,0.0
PTON,0.0
QCOM,0.0
PLTR,0.0
SIRI,0.0
SGEN,0.0
ROST,0.0
ROP,0.0
ON,0.0
OKTA,0.0
NTAP,0.0
MXIM,0.0
XEL,0.0
XLNX,0.0
ZM,0.0
ZS,0.0
SPLK,0.0
STX,0.0
SMCI,0.0
SNDK,0.0
TCOM,0.0
SWKS,0.0
TRI,0.0
TEAM,0.0
TSLA,0.0
TTD,0.0
SNPS,0.0
SOLS,0.0
VSNT,0.0
WBA,0.0
WBD,0.0
VRSN,0.0
GOOG,-0.002389449502675259
NFLX,-0.004392502389927847
PANW,-0.007512197979015973
PDD,-0.016243622000213388
AMGN,-0.02686079379712452
REGN,-0.029855252942276263
ATVI,-0.03192893552860523
BKNG,-0.031940290442049546
HON,-0.03650472604692799
LIN,-0.04681624433310063
MDLZ,-0.04790983332386199
AAPL,-0.0587550131368471
