symbol,net_pnl
BR,0.0
BRK.B,0.0
BRO,0.0
BSX,0.0
BX,0.0
BXP,0.0
CAH,0.0
CARR,0.0
CMS,0.0
CNP,0.0
COG,0.0
CAT,0.0
CBOE,0.0
CBRE,0.0
CCI,0.0
CDAY,0.0
CDNS,0.0
CDW,0.0
CEG,0.0
CERN,0.0
CF,0.0
CRH,0.0
CRL,0.0
CRM,0.0
CRWD,0.0
CSCO,0.0
CSGP,0.0
CHTR,0.0
CIEN,0.0
CL,0.0
CLX,0.0
CMA,0.0
CME,0.0
CMG,0.0
CMI,0.0
DAL,0.0
DASH,0.0
DAY,0.0
COHR,0.0
COIN,0.0
COO,0.0
COP,0.0
COR,0.0
COST,0.0
CPAY,0.0
CPB,0.0
CPRT,0.0
CPT,0.0
DIS,0.0
DISCA,0.0
DISCK,0.0
DISH,0.0
DLR,0.0
DLTR,0.0
CSX,0.0
CTAS,0.0
CTLT,0.0
CTRA,0.0
CTSH,0.0
CTXS,0.0
CVNA,0.0
CVX,0.0
DXCM,0.0
EA,0.0
EBAY,0.0
ECL,0.0
EFX,0.0
DDOG,0.0
DE,0.0
DECK,0.0
DELL,0.0
DFS,0.0
DG,0.0
DGX,0.0
DHI,0.0
DHR,0.0
EPAM,0.0
EQIX,0.0
EQR,0.0
ERIE,0.0
ESS,0.0
DOV,0.0
DPZ,0.0
DRE,0.0
DRI,0.0
DTE,0.0
DUK,0.0
DVA,0.0
DVN,0.0
EXPE,0.0
EXR,0.0
FAST,0.0
FB,0.0
FBHS,0.0
FCX,0.0
EL,0.0
ELV,0.0
EME,0.0
EMR,0.0
ENPH,0.0
EOG,0.0
FICO,0.0
FIX,0.0
FLIR,0.0
FLT,0.0
FOX,0.0
FOXA,0.0
FRC,0.0
ETN,0.0
ETR,0.0
ETSY,0.0
EW,0.0
EXPD,0.0
GDDY,0.0
GE,0.0
GEHC,0.0
GEN,0.0
GEV,0.0
GILD,0.0
GIS,0.0
GLW,0.0
GNRC,0.0
FDS,0.0
FDX,0.0
FE,0.0
FFIV,0.0
FI,0.0
GRMN,0.0
GWW,0.0
HAL,0.0
HAS,0.0
HBI,0.0
HCA,0.0
HD,0.0
HES,0.0
HFC,0.0
FRT,0.0
FSLR,0.0
FTNT,0.0
FTV,0.0
GD,0.0
HON,0.0
HOOD,0.0
HPQ,0.0
HRL,0.0
HSIC,0.0
HST,0.0
HSY,0.0
HUBB,0.0
HWM,0.0
IBKR,0.0
GOOG,0.0
GOOGL,0.0
GPC,0.0
GPS,0.0
ILMN,0.0
INCY,0.0
INFO,0.0
INTU,0.0
INVH,0.0
IPG,0.0
IPGP,0.0
IQV,0.0
IR,0.0
HII,0.0
HLT,0.0
HOLX,0.0
J,0.0
JBHT,0.0
JBL,0.0
JCI,0.0
JKHY,0.0
JNJ,0.0
JNPR,0.0
ADI,0.0
K,0.0
ZTS,0.0
SPY,0.0
IBM,0.0
ICE,0.0
IDXX,0.0
IEX,0.0
KKR,0.0
KLAC,0.0
KMB,0.0
A,0.0
KO,0.0
KR,0.0
KSU,0.0
KVUE,0.0
AAL,0.0
LB,0.0
LDOS,0.0
LEG,0.0
IRM,0.0
ISRG,0.0
IT,0.0
ITW,0.0
V,0.0
VFC,0.0
VIAC,0.0
AAP,0.0
VLO,0.0
VLTO,0.0
VMC,0.0
VRSK,0.0
VRSN,0.0
VRT,0.0
VRTX,0.0
VST,0.0
VTR,0.0
AAPL,0.0
KEYS,0.0
ABBV,0.0
ABC,0.0
META,0.0
LH,0.0
LHX,0.0
LII,0.0
LIN,0.0
LITE,0.0
ABMD,0.0
LLY,0.0
LMT,0.0
LNT,0.0
LOW,0.0
LRCX,0.0
LULU,0.0
LUV,0.0
WRK,0.0
ADP,0.0
MRO,0.0
LVS,0.0
LW,0.0
ADSK,0.0
LYV,0.0
MA,0.0
MAA,0.0
MAR,0.0
MAS,0.0
MCD,0.0
MCHP,0.0
MCK,0.0
MCO,0.0
MDLZ,0.0
MDT,0.0
NEE,0.0
NEM,0.0
NFLX,0.0
MGM,0.0
MKC,0.0
MKTX,0.0
MLM,0.0
MMC,0.0
MMM,0.0
MNST,0.0
MO,0.0
MOH,0.0
AEE,0.0
MPC,0.0
MPWR,0.0
MRK,0.0
NVDA,0.0
NVR,0.0
AEP,0.0
AES,0.0
MRSH,0.0
AJG,0.0
MSCI,0.0
MSFT,0.0
MSI,0.0
AKAM,0.0
MTCH,0.0
MTD,0.0
ALGN,0.0
MXIM,0.0
NDAQ,0.0
NDSN,0.0
TJX,0.0
PANW,0.0
PARA,0.0
PAYC,0.0
PAYX,0.0
NI,0.0
NKE,0.0
NLOK,0.0
NLSN,0.0
NOC,0.0
NOW,0.0
NRG,0.0
NSC,0.0
NTAP,0.0
AMAT,0.0
AMCR,0.0
PGR,0.0
PH,0.0
PKG,0.0
PKI,0.0
PLD,0.0
AMD,0.0
NXPI,0.0
AME,0.0
ODFL,0.0
OGN,0.0
OKE,0.0
OMC,0.0
ON,0.0
ORCL,0.0
ORLY,0.0
OTIS,0.0
PODD,0.0
POOL,0.0
PPG,0.0
AMGN,0.0
PSA,0.0
PSX,0.0
PTC,0.0
PBCT,0.0
PCAR,0.0
AMP,0.0
PEAK,0.0
PEG,0.0
PEP,0.0
PFE,0.0
AMT,0.0
PG,0.0
QCOM,0.0
QRVO,0.0
RCL,0.0
RE,0.0
REG,0.0
REGN,0.0
AMTM,0.0
RHI,0.0
RJF,0.0
RL,0.0
ROK,0.0
PLTR,0.0
PM,0.0
AMZN,0.0
PNR,0.0
ANET,0.0
RSG,0.0
RTX,0.0
SATS,0.0
SBAC,0.0
SBNY,0.0
SBUX,0.0
SCHW,0.0
SEDG,0.0
SEE,0.0
SHW,0.0
SIVB,0.0
SJM,0.0
PWR,0.0
PXD,0.0
PYPL,0.0
Q,0.0
TXT,0.0
TYL,0.0
UA,0.0
UAA,0.0
UAL,0.0
UBER,0.0
UDR,0.0
UHS,0.0
ULTA,0.0
UNH,0.0
UNP,0.0
UPS,0.0
URI,0.0
ROL,0.0
ROP,0.0
ROST,0.0
SNA,0.0
SNDK,0.0
SNPS,0.0
SO,0.0
SOLS,0.0
SOLV,0.0
SPG,0.0
SPGI,0.0
SRE,0.0
STE,0.0
STLD,0.0
ANSS,0.0
STX,0.0
STZ,0.0
TWTR,0.0
TXN,0.0
ANTM,0.0
AON,0.0
AOS,0.0
SYK,0.0
SYY,0.0
VZ,0.0
TDG,0.0
TDY,0.0
TECH,0.0
TEL,0.0
TER,0.0
WAB,0.0
TFX,0.0
TGT,0.0
SLB,0.0
SMCI,0.0
TKO,0.0
TMO,0.0
TMUS,0.0
TPL,0.0
TPR,0.0
TRGP,0.0
TRMB,0.0
TROW,0.0
APD,0.0
TSCO,0.0
TSLA,0.0
APH,0.0
TT,0.0
TTD,0.0
TTWO,0.0
APO,0.0
ABNB,0.0
APP,0.0
WDAY,0.0
ARES,0.0
WEC,0.0
WELL,0.0
ATO,0.0
WHR,0.0
WLTW,0.0
WM,0.0
WMB,0.0
WMT,0.0
WRB,0.0
ACN,0.0
ZBRA,0.0
ATVI,0.0
WAT,0.0
WSM,0.0
WST,0.0
WTW,0.0
WU,0.0
WY,0.0
WYNN,0.0
XEL,0.0
XLNX,0.0
XOM,0.0
XRAY,0.0
XYL,0.0
XYZ,0.0
YUM,0.0
ADBE,0.0
ABT,0.0
RVTY,-7.909799144734591e-05
FISV,-8.076153099232113e-05
LEN,-0.00011989033636686106
CMCSA,-0.00013073877945956865
PENN,-0.00013559856721052972
CNC,-0.00013708850870277166
DOC,-0.00017196858954577444
PHM,-0.0002985723353615958
EMN,-0.000333344684962702
ACGL,-0.0004066297518230893
KMX,-0.0005983780095615393
BAX,-0.0006678615007061186
NCLH,-0.0008486194979341057
ZBH,-0.0008846504265107161
GPN,-0.0009063767983206619
PRGO,-0.0009170666939984427
TAP,-0.0010041208595775873
PSKY,-0.001053671688106097
FIS,-0.0011084292793504587
NOV,-0.0018459585602201632
FMC,-0.002025883221637357
ZION,-0.002156227378511566
PRU,-0.0021598499709360253
UNM,-0.002452424394279678
BWA,-0.0032240883381591283
RMD,-0.003612403013502442
CE,-0.0037654989106697162
BIO,-0.003835679608388781
MHK,-0.0039487742493118354
CAG,-0.005488034356088869
PVH,-0.007739461712050858
KHC,-0.01018603849377315
VNO,-0.012116763069002471
LNC,-0.015779494339367282
WBA,-0.01903017313661979
ARE,-0.021347541022625764
LUMN,-0.03365739883370204
