date,net_pnl
2021-05,0.0
2021-06,0.0
2021-07,0.0
2021-08,0.0
2021-09,0.0
2021-10,0.0
2021-11,-0.008737655458186392
2021-12,-0.002421334614942123
2022-01,-0.10146295254474176
2022-02,0.03687009360561632
2022-03,0.062134525133982293
2022-04,-0.056084809887081956
2022-05,0.07071218671756455
2022-06,-0.1258212088902731
2022-07,0.034825866384395124
2022-08,-0.013452323430426861
2022-09,-0.04227858836572801
2022-10,0.11393842343539892
2022-11,0.01795890599685447
2022-12,-0.03511306463767998
2023-01,0.04408657185212707
2023-02,-0.032989542677760865
2023-03,0.0071173015501357385
2023-04,-0.004022590158817403
2023-05,-0.025373829802968553
2023-06,0.0819895471212747
2023-07,0.017467089384924556
2023-08,-0.017871835782199093
2023-09,-0.06551956410551174
2023-10,-0.03231546417009122
2023-11,0.08184364232039974
2023-12,0.04164104075971358
2024-01,0.025973185501530965
2024-02,0.053936156829832466
2024-03,0.04803841131631662
2024-04,-0.061451112030109716
2024-05,0.06909328104267261
2024-06,-0.06336686629564403
2024-07,-0.05114862667996095
2024-08,0.021209471736496066
2024-09,0.011397834495575965
2024-10,-0.00578160077986202
2024-11,0.10716448008113938
2024-12,-0.0603213325319217
2025-01,0.04366759095997328
2025-02,-0.004664601601020273
2025-03,-0.08387764399074774
2025-04,0.012561861856240412
2025-05,0.04853326796692494
2025-06,0.054693871310568284
2025-07,-0.0021930048835342025
2025-08,-0.011504762353724999
2025-09,0.0709548506339841
2025-10,0.08310482482151547
2025-11,-0.015395402428938979
2025-12,0.03882532842525885
2026-01,0.0753541718811017
2026-02,0.06207527392619925
2026-03,-0.0490756458550206
2026-04,0.09674928419004943
