symbol,net_pnl
ZM,0.38778006203507537
TSLA,0.2891769542456945
WDC,0.2121924510130348
MU,0.1854978988797232
STX,0.14485898258143434
PLTR,0.11731824261110192
NFLX,0.11261443940807439
CRWD,0.10633259840507853
GOOG,0.10389479895189037
WBD,0.09650793010716127
LRCX,0.0897035475830157
REGN,0.07919124476784677
GOOGL,0.07797119695484032
PDD,0.0776787077031446
MSTR,0.05223366362100536
ISRG,0.04407676042622722
MSFT,0.03323273083873763
META,0.031543093086915996
BIDU,0.02785039298585234
SNDK,0.02473578221969777
GILD,0.02180948918211252
MRNA,0.021290414776254138
ATVI,0.020867116775301595
TMUS,0.016717174000940457
DOCU,0.013577043356372213
MRVL,0.011777599524278577
LIN,0.011562623687391404
ALXN,0.008971833147978803
AMZN,0.007839091482952103
ARM,0.007627170356020509
CSCO,0.007001945648768517
MELI,0.002538709326110211
EBAY,0.0024284508235952397
CHKP,0.0
CERN,0.0
CELG,0.0
AAL,0.0
WYNN,0.0
UAL,0.0
TTWO,0.0
ULTA,0.0
WBA,0.0
VSNT,0.0
VRSN,0.0
VRSK,0.0
XEL,0.0
SWKS,0.0
TEAM,0.0
TRI,0.0
TTD,0.0
SPLK,0.0
CCEP,0.0
CDNS,0.0
ADSK,0.0
AXON,0.0
BKR,0.0
BIIB,0.0
BMRN,0.0
CDW,0.0
ANSS,0.0
ALGN,0.0
ADP,0.0
AEP,0.0
ALNY,0.0
QQQ,0.0
GEHC,0.0
FI,0.0
FAST,0.0
CSGP,0.0
LBTYK,0.0
MNST,0.0
MPWR,0.0
MAR,0.0
KDP,0.0
KHC,0.0
FTNT,0.0
GFS,0.0
LBTYA,0.0
HAS,0.0
IDXX,0.0
HSIC,0.0
INSM,0.0
INCY,0.0
JBHT,0.0
ILMN,0.0
LCID,0.0
MXIM,0.0
NTES,0.0
FOX,0.0
FOXA,0.0
EXC,0.0
EXPE,0.0
FANG,0.0
EA,0.0
CTXS,0.0
DLTR,0.0
FER,0.0
CSX,0.0
CTAS,0.0
CTSH,0.0
CPRT,0.0
WTW,0.0
WDAY,0.0
WMT,0.0
SMCI,0.0
ROST,0.0
ROP,0.0
PAYX,0.0
TCOM,0.0
SOLS,0.0
ODFL,0.0
ON,0.0
OKTA,0.0
ORLY,0.0
MYL,0.0
SNPS,0.0
MTCH,0.0
SGEN,0.0
SIRI,0.0
RIVN,0.0
PCAR,0.0
NLOK,0.0
NTAP,0.0
KLAC,-0.0035149019316880596
NVDA,-0.003658728188469632
MCHP,-0.004316531607275792
ADBE,-0.006391184325978896
MDLZ,-0.006800632630906402
AZN,-0.008403946831845286
COST,-0.009052145770213876
SHOP,-0.009057314289647784
LULU,-0.009936128659989114
JD,-0.01075392122820775
APP,-0.010845487000462041
AMAT,-0.014074741446886814
DASH,-0.014486063926621369
QCOM,-0.01615520609029022
HON,-0.01631791601320745
PEP,-0.016782835485583625
ABNB,-0.020248866716493372
INTU,-0.022401306639859765
ENPH,-0.022433962611225593
TXN,-0.026228725237557576
ZS,-0.02670707027137799
AAPL,-0.027288069915819547
PTON,-0.029409221961298863
MDB,-0.0310080822426745
VRTX,-0.03247866707886
CMCSA,-0.036482654866829
NXPI,-0.0365869788597267
XLNX,-0.037791850835257906
ASML,-0.04275017734439381
BKNG,-0.045969872107872324
DDOG,-0.04753380471213665
DXCM,-0.04760356736396105
CHTR,-0.056587743011623656
AMD,-0.07102423703186916
SBUX,-0.07240599011627215
INTC,-0.07751551091114256
ADI,-0.07944346456417418
AMGN,-0.08328253987277265
PYPL,-0.10182093204623772
CEG,-0.12589408534296173
AVGO,-0.15355898454074524
PANW,-0.38513397580384223
